month,year,lz_name,lz_code,hazard,soc_sec,wg,pc_pop,lhood_def,surv_def
May,2016,Southern freehold small stock,56184,Affected,0,Rich,0.13,0,0.00
May,2016,Southern freehold small stock,56184,Affected,0,Middle,0.27,0,0.00
May,2016,Southern freehold small stock,56184,Affected,0,Poor,0.36,3260,0.03
May,2016,Southern freehold small stock,56184,Not affected,1,Rich,0.04,0,0.00
May,2016,Southern freehold small stock,56184,Not affected,1,Middle,0.08,0,0.00
May,2016,Southern freehold small stock,56184,Not affected,1,Poor,0.12,0,0.00
May,2016,Southern freehold small stock,56184,Not affected,0,Rich,0.13,0,0.00
May,2016,Southern freehold small stock,56184,Not affected,0,Middle,0.27,0,0.00
May,2016,Southern freehold small stock,56184,Not affected,0,Poor,0.36,2771,0.00
May,2016,Northern border upland cereal and livestock,56201,Affected,1,Rich,0.03,0,0.00
May,2016,Northern border upland cereal and livestock,56201,Affected,1,Middle,0.06,0,0.00
May,2016,Northern border upland cereal and livestock,56201,Affected,1,Poor,0.05,0,0.00
May,2016,Northern border upland cereal and livestock,56201,Affected,1,Very Poor,0.06,0,0.00
May,2016,Northern border upland cereal and livestock,56201,Affected,0,Rich,0.10,4138,0.00
May,2016,Northern border upland cereal and livestock,56201,Affected,0,Middle,0.22,2461,0.00
May,2016,Northern border upland cereal and livestock,56201,Affected,0,Poor,0.22,3325,0.63
May,2016,Northern border upland cereal and livestock,56201,Affected,0,Very Poor,0.26,2460,0.68
May,2016,Northern border upland cereal and livestock,56201,Not affected,1,Rich,0.03,0,0.00
May,2016,Northern border upland cereal and livestock,56201,Not affected,1,Middle,0.06,0,0.00
May,2016,Northern border upland cereal and livestock,56201,Not affected,1,Poor,0.05,0,0.00
May,2016,Northern border upland cereal and livestock,56201,Not affected,1,Very Poor,0.06,0,0.00
May,2016,Northern border upland cereal and livestock,56201,Not affected,0,Rich,0.10,0,0.00
May,2016,Northern border upland cereal and livestock,56201,Not affected,0,Middle,0.22,0,0.00
May,2016,Northern border upland cereal and livestock,56201,Not affected,0,Poor,0.22,3325,0.11
May,2016,Northern border upland cereal and livestock,56201,Not affected,0,Very Poor,0.26,2460,0.60
May,2016,North-central upland cereal and non-farm income,56202,Affected,1,Rich,0.03,0,0.00
May,2016,North-central upland cereal and non-farm income,56202,Affected,1,Middle,0.06,0,0.00
May,2016,North-central upland cereal and non-farm income,56202,Affected,1,Poor,0.05,1876,0.00
May,2016,North-central upland cereal and non-farm income,56202,Affected,1,Very Poor,0.04,879,0.17
May,2016,North-central upland cereal and non-farm income,56202,Affected,0,Rich,0.13,0,0.00
May,2016,North-central upland cereal and non-farm income,56202,Affected,0,Middle,0.28,2509,0.00
May,2016,North-central upland cereal and non-farm income,56202,Affected,0,Poor,0.24,2399,0.75
May,2016,North-central upland cereal and non-farm income,56202,Affected,0,Very Poor,0.17,879,0.93
May,2016,North-central upland cereal and non-farm income,56202,Not affected,1,Rich,0.03,0,0.00
May,2016,North-central upland cereal and non-farm income,56202,Not affected,1,Middle,0.06,0,0.00
May,2016,North-central upland cereal and non-farm income,56202,Not affected,1,Poor,0.05,0,0.00
May,2016,North-central upland cereal and non-farm income,56202,Not affected,1,Very Poor,0.04,0,0.00
May,2016,North-central upland cereal and non-farm income,56202,Not affected,0,Rich,0.13,0,0.00
May,2016,North-central upland cereal and non-farm income,56202,Not affected,0,Middle,0.28,0,0.00
May,2016,North-central upland cereal and non-farm income,56202,Not affected,0,Poor,0.24,2399,0.24
May,2016,North-central upland cereal and non-farm income,56202,Not affected,0,Very Poor,0.17,879,0.70
May,2016,Caprivi Lowland cattle and maize,56203,Affected,1,Rich,0.01,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Affected,1,Middle,0.02,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Affected,1,Poor,0.05,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Affected,1,Very Poor,0.06,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Affected,0,Rich,0.08,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Affected,0,Middle,0.13,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Affected,0,Poor,0.31,1515,0.35
May,2016,Caprivi Lowland cattle and maize,56203,Affected,0,Very Poor,0.34,1492,0.58
May,2016,Caprivi Lowland cattle and maize,56203,Not affected,1,Rich,0.01,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Not affected,1,Middle,0.02,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Not affected,1,Poor,0.05,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Not affected,1,Very Poor,0.06,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Not affected,0,Rich,0.08,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Not affected,0,Middle,0.13,0,0.00
May,2016,Caprivi Lowland cattle and maize,56203,Not affected,0,Poor,0.31,1515,0.35
May,2016,Caprivi Lowland cattle and maize,56203,Not affected,0,Very Poor,0.34,1492,0.58
